username,age,gender,text,thread_replies,avatar_url
runawayreplicant.bsky.social,46,Man,"I am sorry that you were bullied growing up. At least your parents took you to get a proper diagnosis. My parents never took me to any doctor unless it was something like a broken bone. So my chronic depression was never caught until I sought help as an adult, and I am pretty sure I am on 1/2","Spectrum as well, but I do not have the money to get a proper diagnosis here in the US, but doing research of my own, I definitely hit a lot of the checkmarks of being on the spectrum.

I wish healthcare in the US was treated as a fundamental right, and not another capitalist tool of profit.",https://cdn.bsky.app/img/avatar/plain/did:plc:sxhhh6gfypu7tdydaiq3vesz/bafkreichrhnfz46q5n25gmocxtb2vo2rybwx5jyzwuwmbbikckvmm6u6be@jpeg
zombiz.bsky.social,47,Man,but what if I've felt like this my whole life?? im currently diagnosed chronic depression,"ughh idk. i had my depression in waves, like id be depressed for one or two years, feel really happy one year, and go back to feeling depressed. i think my depression was cause of my hormones and the lack of support from other ppl. but eventually i felt happy again so i think its possible for u. and",https://cdn.bsky.app/img/avatar/plain/did:plc:cktf2viymjeya7copg4cggxo/bafkreicgvbvl5g5mibwl6yunt44u7oeonjqzx2o4zyw2fto23houxouiwa@jpeg
wolfgangviragh.bsky.social,45,Man,"In 2008, I was diagnosed with a chronic illness, lost my inheritance, hit financial rock bottom. Depression followed. But daily meditation with a Buddhist monk changed my mindset, building resilience and clarity. Stress and burnout don’t discriminate. How do you navigate tough times?",Yoga,https://cdn.bsky.app/img/avatar/plain/did:plc:sgdyzyvgnxsrayjhwxq3d3c7/bafkreiafccx6rmqx6r5pd6jajzzbupjcmlattwa3dgkbbgulehfmmh5rka@jpeg
crystallizedwonder.bsky.social,45,Woman,"I, myself, have anxiety and chronic massive depressive disorder partially from my lupus. While I have both from other reasons as well, my depression was diagnosed as chronic because it gets a lot worse during lupus flares.",,https://cdn.bsky.app/img/avatar/plain/did:plc:ickmz6tpgc4gdwxpvihtjwt3/bafkreicgpxucupass2fxoicqu3kdpxwkynqvrk62qq5grqjvyi5apuzidy@jpeg
antigrinch.bsky.social,49,Man,"Then accepting a true diagnosis of anxiety and depression. 

Then big career change. 

Oh, wait. Not anxiety/depression anymore. ADHD. 

Then estranged from any blood relation I have - which is deeply hard. 

Add autism. Neat. 

Now potentially a chronic autoimmune disease on top. 

(2/?)","Somewhere along the line I dropped bi and added queer.

UglyDog became…my religion gives it the wrong credit. A mooring point. A community. 

Im making a couch nest now with many accommodations to help with pain and mental energy. 

I will accept this newest version of me, but it will take time. End",https://cdn.bsky.app/img/avatar/plain/did:plc:mbjcsuarqwrfzvjv2lpjwas7/bafkreicjsqgiwlzqhtlshpfthrz5lujqx4m4nmbydr77wgzbpeyngggwry@jpeg
max1mus.bsky.social,53,Man,"Most likely, I was diagnosed 30 yes ago with chronic depression but this feels different. I take meds, they work but this just feels different.",,https://cdn.bsky.app/img/avatar/plain/did:plc:z56oeln54gob63rjrdkwv7gb/bafkreic2mgvfzjd4tcfc57eo2nb4vgmdeb6sns6q3ri4kfpdldujkzsad4@jpeg
larycrews.bsky.social,60,Man,"I was diagnosed with clinical depression in Las Vegas in 2004.
I was surprised that something mental could cause physical effects.
My grandmother told me to be ashamed of mental illness. 
It never thought of asking for help. 
They eventually got me on Zoloft, and I could get back to work.",,https://cdn.bsky.app/img/avatar/plain/did:plc:zaionhgwattywu36e7t3uqsi/bafkreibmdpwft523555ofci7gpgokrfktway7jnv2s7p6hnwtci3arwlci@jpeg
nicoleziege.bsky.social,45,Woman,"Can’t wait for my ADHD & clinical depression, which I was diagnosed with at the age of 12, to go completely untreated once they decide to take away my medication for no reason🤩🥳","Start stockpiling now. Get your refills as soon as you can, even if you don't need them yet. Most insurance companies will let you get them a week or two in advance.",https://cdn.bsky.app/img/avatar/plain/did:plc:bjevsvrstdrgdduhelqsaito/bafkreiebb36tet3uq2ovbxladzwhdemwepn7u3o2f43fgaur232qfeh7im@jpeg
normalize-therapy.bsky.social,50,Man,"So true. I have Autism, ADHD, anxiety, and clinical depression. At least now I know why I feel, think, and act the way i do. I was diagnosed at 57. There are days my insides are constantly fighting, then there are a few days of peace.",,https://cdn.bsky.app/img/avatar/plain/did:plc:idw5nxwv2g4ngp3o7n7o7cze/bafkreicnc756n2bqpdhv3xspg7654nhc5jx3qvbl6el7qhuappfj74mtgu@jpeg
cumbalum.bsky.social,45,Man,"Yeah, the past year has been tough for me. A year ago I was diagnosed with clinical depression, after 9 weeks off work my Mum died, 5 months later Dad died 2 months later my work said ""see ya"" so I retired. And somewhere in there I got divorced.",I'm so sorry that you had to go through that. Depression is no joke either. It's not unusual for old married people to pass soon after the first one leads the way. My grandparents did this. It actually makes me smile when it happens. They are so attached to one another that they seek to follow.,https://cdn.bsky.app/img/avatar/plain/did:plc:zwlw77b4i3ai2xdod3xmkvif/bafkreia5y3dsg5ligdx2c555oshdlynfoivzq2m6d7z4jqcwj6d2oiiaim@jpeg
stopthestigma.bsky.social,45,Man,"Guest Post: Postpartum Bipolar Disorder and Using a Vegan Ketogenic Diet for Bipolar Disorder by Dyane Harwood: I was diagnosed with postpartum bipolar I disorder in 2007 after my second daughter was born. I had treatment-resistant bipolar depression, and I tried over 20 meds to… #bipolardisorder",,https://cdn.bsky.app/img/avatar/plain/did:plc:uphqwkdmng53imwavsgltnuo/bafkreif6e5j4ytdg6oiqrcosnfw7lqot42d4tf6gccgupnhjyw6ecgtnnm@jpeg
angierasmussen.bsky.social,51,Woman,"I suffered pretty severe depression as a result of this. I was diagnosed with PTSD. I almost dropped out of my PhD program 5 years in because being assaulted, menaced, & finally blamed for it by the institution & their supposed “public safety” department was a lot for me to bear.","I defended my thesis in my 6th year. My PhD project was really challenging but I mouse-adapted, cloned, & characterized a difficult virus & found my purpose as a virologist again. I refused to let my assault take that away from me. Supportive colleagues, mentors, & friends helped. Columbia didn’t. | This is horrible and I feel so bad for you but it also explains why you can dust off attacks by Ebright etc with such admirable ""fuck them losers"" brio.",https://cdn.bsky.app/img/avatar/plain/did:plc:opitzjj6oapo6y3cr5ipwfdu/bafkreigqqrmhbrxhyrhzcg3bsgxvaqzzvgr225dm3uojsz7etjeudm43jq@jpeg
pauljosephserna.bsky.social,51,Man,"It wasn’t until my junior year of college that I was first officially diagnosed with silent depression. At that time, I joked with family and friends about it, secretly hiding the real truth out of my own personal shame for even admitting to myself of having mental health issues.",,https://cdn.bsky.app/img/avatar/plain/did:plc:2lnkyriksifoemc7cihcuiyn/bafkreibd4qp5ulfrehvdn3a6bck27stomazwauee2v23rapakgcnnumhie@jpeg
tryonk.bsky.social,50,Man,"Oh my. I was diagnosed with depression ages ago and OCD in my 30s, maybe 40s. (I was 32 when we married.) Our younger daughter was diagnosed around age 5 or 6 and the older one just recently.","Our granddaughter, she’s 5, hasn’t been diagnosed yet, but it’s just a matter of toi-même. I can tell you she is definitely on the spectrum, but then her mother and both of her grandmothers are🙃",https://cdn.bsky.app/img/avatar/plain/did:plc:hgfiqssi3p63haciuetvwcgq/bafkreihgfvs3kn4csrrt4z3xmnkwap65fsdeigsc6tw72kcu2kzcd2qhxm@jpeg
thatant.bsky.social,47,Man,"As an adult now diagnosed with autism, I'm learning every day and if I can help you with any insights into our brains I will try..
I used to feel sad, a lot. I thought it was depression and I couldn't ever explain why I felt it. Now I know it's usually down to 3 things.","1, Impending change. So if he's in the swing of school that schedule and routine is easier, if that's not happened for a while and then it's on the horizon again, he will be overthinking everything about it, worrying about everything and that's drains us and being drained=tired=feeling low/sad",https://cdn.bsky.app/img/avatar/plain/did:plc:vqkxty7vmbb2i367lsvzlclt/bafkreifavr7gphxasow7qdd4aivcdytprnrprm3azwrbnj5cplr6jhinpe@jpeg
jvdrieth.bsky.social,46,Man,"In my lifetime I have been diagnosed with
-depression, which turned out to be Morbus Meniere
-an anxiety attack, which was actually a lung embolism

(these two happened in Germany)","Your experience sounds more like misdiagnosis than malpractice based on weird insurance rules, as the meme suggests",https://cdn.bsky.app/img/avatar/plain/did:plc:pztxwedie6mdmm5rph32nrvw/bafkreieyeldzonzywdok7q6eqqz4ko747tvpyupxug46bg6udyafne2izq@jpeg
bobren.bsky.social,51,Man,"I remember when I learned that I had been diagnosed with depression, I was still yelling at these parents, 'Please let me go, please don't mind me, I want to rest.'....guys,please express love in a timely manner and don't wait until everything is too late",,https://cdn.bsky.app/img/avatar/plain/did:plc:dqhosilve24mtx4frojxx6zq/bafkreihlg67txpnarotudmfrckzycwzou3kvndfm7b3fnhssujycbbritm@jpeg
chrispesci.bsky.social,45,Woman, “And once I was diagnosed with depression? *Everything* was dismissed. But who wouldn’t be depressed when they always feel like shit & no one will listen?” Maybe next time pay attention to what you’re responding to next time and don’t make assumptions about people you don’t know. 🤷🏻,,https://cdn.bsky.app/img/avatar/plain/did:plc:pz53liofr72ddv6vqhorpaac/bafkreiazo2skqd75ayh7ggvw3j2hn375ulhwmpd6buc4roqmt2rcp7xihi@jpeg
nicolascgrey.bsky.social,61,Man,"I was diagnosed with Schizoaffective disorder and depression, at around 20, only got an autism diagnosis aged 54. But I stopped taking anti psychotic medications 20 years ago on my own ( because they didn’t work, and had unpleasant side effects) . I had to just stop going to any appointments ,",,https://cdn.bsky.app/img/avatar/plain/did:plc:bl5t5abj336rtufyr62bord7/bafkreiapz2vsqizkd46kl5fpqxpzzfvsc6kgoi4vnmp4evs2newy3m65ty@jpeg
unclelonny.bsky.social,48,Man,"#USDemocracy 
1/2
I am a recovering addict, I  have been diagnosed with ADHD, General Anxiety, Depression, Reactive Attachment Disorder and PTSD. These are mental illnesses, not mental defects. I am a fully functional tax paying member of society.","2/2 MAGAs like to label members of the LBGTQ community at mentally ill. Please, my fellow resisters, let’s be careful how we use the term “mental illness “, I mean, sanity is way over rated and we’re all a little mad here.",https://cdn.bsky.app/img/avatar/plain/did:plc:qhom756noraoly4ey4t6n7uq/bafkreiaopl5kxuwreajhfw6phmyfqowopewgsys45ss44js3suhdxpay2e@jpeg
stephenseagal.bsky.social,47,Man,"I agree, bit we need to be careful about how we brand the cuts in wealthfare. I've been recently diagnosed with anxiety and depression, which I've been told I can claim PIP for. This is clearly ridiculous, I work full time, and also know full well that it's beneficial for mental health conditions.","They have also scrapped the non-dom tax status, which billionaires have used a lot to evade taxes here. | Eligibility criteria are extremely tough. I have personal experience of the person I care for getting no financial support with severe psychosis and ME that was considered by the doctor to be equivalent to stage 3 cancer. There is much bigger problem with under claiming than over claiming. | PIP is not based on whether you can work. It supports some people so they're able to work and others who are not able to work use the money for extra costs. If you're fully functioning, or mostly functioning, you won't qualify for PIP. I don't know who told you but it's not that easy to claim",https://cdn.bsky.app/img/avatar/plain/did:plc:p3ds6wel2taqlzn6h6ptxnen/bafkreifvtidudaivf4mfdvqh2n36ystmq2etwc46g4kyuftfzbbfdqrh5i@jpeg
revepiscodad.bsky.social,45,Man,"As one diagnosed with depression a number of years ago, I’m incredibly grateful for this column. Thank you for trusting us enough to be vulnerable about your journey.",,https://cdn.bsky.app/img/avatar/plain/did:plc:bw6llcbpnfasvejb4xlm7c7p/bafkreig5tnrehcuf5vszrocyalxprdmf44r7mzhmrmgkqvkr6we6a3n7ma@jpeg
sonderstu.bsky.social,45,Man,"We deserve it.
After all, I'm just suffering from long-standing depression, severe Panic Disorder, severe agoraphobia, PTSD as well as being diagnosed with ADHD and autism.
I am in shock at the twist that I got PIP from the Tories only to have it potentially taken away from me by Labour.
Disgusting.",,https://cdn.bsky.app/img/avatar/plain/did:plc:n3zynrljo7b6s3pylkzk7r3a/bafkreiffcgmublnyeoivmvynkcx6cvlgwktwu3drbguum7z5lsyiljqkju@jpeg
ebsnakebones.bsky.social,48,Man,nothing has ever managed my depression better than hanging out with a bunch of fags and trannies. when you get diagnosed they should prescribe you a group of morally dubious queerd who will play unfinished roleplaying games with you,,https://cdn.bsky.app/img/avatar/plain/did:plc:jhshvt5sbqda7c2427uvkox3/bafkreietqclwgtxuo4vp536dio4cpis64j76nbv4y66xtxcd32efhdr2nu@jpeg
butterscup95.bsky.social,49,Man,"Since getting diagnosed last year, I've recognised how much the cycle of ADHD and depression interferes with my life. The problem is that not much has changed to break that cycle and I still can't seem to get things done. Does anyone who struggles through the same thing have any tips?","On a slightly unrelated note, I miss writing. Since being on hiatus, I've had many ideas forming in my head. Vague plot points for the second half of My Tears Are Becoming a Sea are more fleshed out than ever and I can't wait to see them come to life. I just have to combat this damn ADHD paralysis. | I find that if I need to get something done, I have to do it first thing while my meds are active and before I run out of energy. I say to myself you can sit down and relax after you get this done. Doesn’t always work but it does for the most part. Good luck hon! 🫂💜💜",https://cdn.bsky.app/img/avatar/plain/did:plc:ukghh7erymgmsemvjrbkfwwi/bafkreialn7kgfmgfb6z5bnylo7byeliuw35s2q2eeprypy56ntsitbz634@jpeg
moodledoo.bsky.social,45,Man,"got a therapist today, going to a psychiatrist for adhd meds, got lab work done to see if that’s contributing to depression, and got diagnosed with depression and anxiety today. I missed a lot of work but these things deserve my time too",,https://cdn.bsky.app/img/avatar/plain/did:plc:s3caxf2vlnp5zpezmzcuvy6j/bafkreietd6o23baetaa4cy6mle3scil7n4ioq53lpsubwpcdczddzpyh5y@jpeg
matt72423.bsky.social,54,Man,"Himal, thank you so much for posting this about your experience of ADHD. I'm 67 and about to go through an ADHD assessment. I've struggled all my adult life with the symptoms you describe. In my 30s I was diagnosed with depression, but no meds or CBT seemed to work other than briefly. (1/2)","Recently diagnosed too (at 51). Explains so much of the anxiety and depression but also fascinating and confusing. 
Enjoy the ride. | My daughter was doing her psychology masters, talked about ADHD and urged me to seek a referral. I guess it could be that I have depression combined with ADHD, or that I was misdiagnosed. I'll soon find out.  (2/2)",https://cdn.bsky.app/img/avatar/plain/did:plc:7rgdw77ofiskgntt4huyspna/bafkreiahb2dkr3xyq2ybf2yjm4sin4axn6abtneithlxzypekmtxne6hzi@jpeg
jonstackpool.bsky.social,48,Man,"I didn't mean that, no.

Fully aware that there is a spectrum; wasn't aware of a hierarchy. I must be way down the list, with my diagnosed anxiety and depression...🤷🏼‍♂️",,https://cdn.bsky.app/img/avatar/plain/did:plc:k4kdmr4vk7fk6x6wtnp3x6cn/bafkreifubnqfm5b4pb6iz6ycphdetkzcdqqza7zfwxdr7icduo45yzgcwu@jpeg
redsixporkins.bsky.social,50,Man,I understand that. My therapist says I'm an Empath and I've been diagnosed with Bipolar I Disorder and extreme depression and anxiety. I am sorry that you suffer with feeling so much emotion. I hope you are able to get through it one day.,"(one of my bipolar-driven crackpot theories)

When I am manic, I am hypersensitive to vibrations. Example , I can stroke 2"" away my husband's arm, raise the hairs on his arm and feel the increase in his love (lust?) for me.

I believe manics can easily sense emotions (and ESP and ghosts)",https://cdn.bsky.app/img/avatar/plain/did:plc:enizfadfu2g24cs5flilj7zl/bafkreiaerkb76zorjufsbhh2xldfxnwwahrcatk2ui2bqnujwjsm54vcaa@jpeg
liampboyle.bsky.social,48,Man,"I've been diagnosed with depression for over 30 years. It's an old ""friend"" at this point. Also, that's why a lot of my characters struggle with it. DMs are open as well, if you need. Although I'm in bed pretty early most nights.","It's a fairly new diagnosis, but I honestly don't remember a time when I didn't feel like this.

Yeah, my characters tend to have some variation of depression or anxiety. Agoraphobia is another thing familiar to both me and my characters. I have many diagnoses, lol.",https://cdn.bsky.app/img/avatar/plain/did:plc:n3skfy5g4ckmku3k4p2xd2vk/bafkreibreom2p7wd3ol36lbv4ms3xewgacnf2ueq4k2g7zjfx6bcu6ma2a@jpeg
kxt.pet,46,Man,just got diagnosed with manic depression XD,getting put on lithium if thyroid lab looks ok | hot girl disorder,https://cdn.bsky.app/img/avatar/plain/did:plc:tskckvi462udxajdc4kpvqyk/bafkreigxdfdorvlhgq775fal6ybtfi6egemycch5cvckvhrnp2b4utd4rm@jpeg
blaze.on.computer,52,Man,"Diagnosed w/ ASD Level 1, this was really interesting to see XD I'm not at all shocked by the complete lack of aggression, though, I'm just Not like that",,https://cdn.bsky.app/img/avatar/plain/did:plc:t4zbkxfermcrgoylqjmbiupe/bafkreifbhopzhlqec6asaqiot42dnnlzhdrfc4gs4c5purtc3perc4ds4u@jpeg
pnutsmama.bsky.social,46,Woman,"years ago my dr finally diagnosed me with situational depression, with neverending depressive situations, so…",,https://cdn.bsky.app/img/avatar/plain/did:plc:cohsnro2uub7ol542ee2qaig/bafkreic53gydlwfzqvniwozoihwqk3itbipjqhjglgdm7bivxdhfosh64q@jpeg
adawongslover.bsky.social,47,Woman,First quarter of college and as a reward i got diagnosed with mild depression and high spectrum of moderate anxiety 😭,,https://cdn.bsky.app/img/avatar/plain/did:plc:mkgubt3ahc5sjqcqzv3hvzft/bafkreibvukmy3fk2lu2xj2cfcfbqirhxffddj3nqyfvbzbjyu4dk4bvioq@jpeg
djgarybaldy.bsky.social,47,Man,"Ive been sad and lonely for 5 years nearly I just dont seem to be able to shake off the depression and grief

I lost muy happiness when Iain got diagnosed with cancer 5 years ago.",,https://cdn.bsky.app/img/avatar/plain/did:plc:hfhdcagvgvcyhd6miv6vippw/bafkreibhcv654d53ihibuuro56qry3ko2etb26ws44kvmwbf2ptfeqt2qy@jpeg
pqfuller.bsky.social,48,Man,Spotify Wrapped diagnosed me with depression again.,,https://cdn.bsky.app/img/avatar/plain/did:plc:nldyf3xoi5ib5lamhfiqkjry/bafkreifrwpscnvki7qj2vpzjqd46cblu2zek4qm5nbmtayafare3bowas4@jpeg
davidofthebeach.bsky.social,45,Woman,This is why I probably won’t seek an assessment unless it would mean I would quality for some kind of aid. I’ve been dealing with anxiety and depression my whole life and it’s probably undiagnosed autism but it doesn’t look like a diagnosis would be worth it.,,https://cdn.bsky.app/img/avatar/plain/did:plc:h5naerii5ifdijx4nqnobw7s/bafkreifnjy72yrgxqwrmm6v27qtrkoveg5yuntouknqlpsvjkfuckbfnge@jpeg
doxiemom2.bsky.social,47,Woman,"I recently started on the generic version of the SSRI Paxil. I have had untreated major depressive disorder, ptsd, and suicide ideation for a decade. I’ve had depression on different levels since I was a kid. I was always resistant to medications. Everything made me feel worse.","Now that I’m post menopausal, my brain is complete mush. I did my own research this time and decided this medication might work for me as it’s also approved for that. It also works on my Raynaud’s that can be debilitating. I’m tolerating the med well and am feeling optimistic.",https://cdn.bsky.app/img/avatar/plain/did:plc:wutxm3x6wepi4dx3xilokw4p/bafkreicfpp2nwrqllh76lnajku245lwpnfa7amfdjyr6d3gror6rwk3ebu@jpeg
thereelrandom.bsky.social,49,Man,"GM Bluesky!
#TMS session today. For those who don’t know my story, I’ll post it down thread.
TMS = Transcranial Magnetic Stimulation and it’s the treatment that keeps my Med resistant  major depressive disorder under control. 
In fact, my MDD is in full remission that’s to this treatment.","Wow - that’s great! | Good morning and Happy Valentines Day, RWG! | I can't imagine what you have suffered before finding this. So happy for you! | So, first my story… part 1

open.substack.com/pub/randomw/... | Science schmience! You look like Dumont from Tron and that's fuckin rad. | So glad you found what works! | The wonders of modern medical technology that keeps good folks like you with us. Yet if RFKJr gets his way you’d be shipped off to a farm because work makes free, apparently.

Hey, that sounds like a great slogan for them. They should use it. | Good morning RWG. Glad to see you found something that works for you. Peace out my friend.",https://cdn.bsky.app/img/avatar/plain/did:plc:qemcl6cgej3efqxs4x5jiebp/bafkreieymfcppniq2dgenuxv2gby3dxb43q27bvg7urzs3uifrvkm7qfb4@jpeg
jbuchana.bsky.social,46,Man,NMDA Receptor Antagonists for Major Depressive Disorder #mentalhealth #mentalillness #depression #ketamine www.everydayhealth.com/depression/c...,,https://cdn.bsky.app/img/avatar/plain/did:plc:6mtcxartq35e6zt3xccykfpd/bafkreico6aeldy3im2ijpavfpwyh7rnc7h3mxctcpxp2v2tzyte4wkvs3q@jpeg
halrager.bsky.social,61,Man,"An international team of researchers identified 109 genes that were associated in different combinations with eight different psychiatric disorders, including autism, ADHD, schizophrenia, bipolar disorder, major depressive disorder, Tourette syndrome, obsessive-compulsive disorder, and anorexia.",,https://cdn.bsky.app/img/avatar/plain/did:plc:ey3fzrqv53i7nfiqvf4adpf2/bafkreigjglyqh3o6za2mcm27afoikbaopi4pce5omwksmcwgtvwzdacnbm@jpeg
orleancooper.bsky.social,50,Man,"In the game of life, there are wins and losses but rarely do you end up with something comparable to the Kansas City Chiefs winning three big games in a row. The clinical name for that is ""major depressive disorder.""",,https://cdn.bsky.app/img/avatar/plain/did:plc:ogvqhoood3hggtdoylbm5cb3/bafkreieyky62rwl32koyugni4upwsffwegra5tkaxuk6jyec2q2bytoej4@jpeg
gmskarka.bsky.social,46,Man,"Mental health advice (from a guy medicated for Major Depressive Disorder and Anxiety):

Control what you can control. Call your elected officials, donate to community orgs, etc. — and try to let the stuff outside of your control go. Obsessing is bad for you. 

Take care of yourself.",,https://cdn.bsky.app/img/avatar/plain/did:plc:uwfo2v6bzhsigf7cbekv426n/bafkreibaf24u2w5n3iufbld33m7j6habewzw4sr5ri57ikiovqxjqiigxy@jpeg
